,sol_price,sol_volume,sol_price_return,sol_price_MA7,sol_price_MA30,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower
2021-12-28,177.42562866,2826063568.0,-0.09212465531341363,188.98334612000002,187.93887430766665,63.05702524440896,-1.9278137483107969,-4.415935156461645,178.6724136345,201.94975694916587,155.39507031983413
2021-12-29,170.65756226,2175731146.0,-0.03814593444653713,187.84912327285716,186.81681416766665,44.808323876616846,-2.988843690694523,-4.1305168633082205,178.14638748099998,201.6596100214447,154.63316494055525
2021-12-30,172.75119019,1540637869.0,0.01226800560300001,185.37981959714287,185.61948750766666,47.18654668603438,-3.619061005089776,-4.028225691664532,178.3862052915,201.55710538088698,155.21530520211303
2021-12-31,170.29907227,1567918820.0,-0.014194506661881823,182.52637372714284,183.63614857966664,46.5627765149842,-4.267188695113532,-4.076018292354332,178.3036842345,201.58260927835934,155.02475919064065
2022-01-01,178.51794434,1084780603.0,0.0482614024870871,180.44023350428571,181.78697865799998,47.18166067291759,-4.0707155954442555,-4.074957752972317,178.5579978945,201.7236737522053,155.39232203679472
2022-01-02,176.38284302,995389409.0,-0.011960149596690228,177.35196359,180.625593567,47.555427578005364,-4.04071523125387,-4.068109248628628,179.61648712200002,200.06625957388084,159.1667146701192
2022-01-03,170.29774475,1345778058.0,-0.03449937741002407,173.76171221285716,179.598023987,47.769902409264816,-4.456583580207223,-4.145804114944347,180.46430206349999,197.4379846900864,163.49061943691356
2022-01-04,167.93890381,1499265336.0,-0.013851275267695473,172.40646580571428,178.65704549166665,41.51114441834624,-4.919788731094258,-4.30060103817433,179.94420776450002,197.80607169446293,162.0823438345371
2022-01-05,155.09973145,2123759721.0,-0.07645144792969338,170.18391854714284,177.3537292483333,35.83293084340423,-6.250840262859356,-4.690648883111335,178.85146103000002,199.87725023329358,157.82567182670647
2022-01-06,150.43135071,2097172620.0,-0.030099218717892895,166.99537005000002,176.01487731966665,23.998430817675583,-7.594858698483165,-5.271490846185701,177.5978637705,202.15696732127512,153.03876021972488
2022-01-07,136.40281677,2926269672.0,-0.09325538774855568,162.1530478357143,174.07424774199998,20.055528477494676,-9.680398827607434,-6.153272442470048,175.27624817,205.80411435966877,144.74838198033123
2022-01-08,142.51345825,2730000333.0,0.044798499215039644,157.00954982285717,172.78542683933335,22.853963386611483,-10.716592499284786,-7.065936453832996,173.39701843350002,207.1337263208519,139.66031054614814
2022-01-09,140.83900452,1599123912.0,-0.011749442828498657,151.93185860857145,171.88156585733333,18.24631088175569,-11.539873394310803,-7.960723841928557,171.755379487,208.4972533072999,135.0135056667001
2022-01-10,135.9549408,2040883379.0,-0.034678345935812316,147.02574375857145,170.681747437,17.789201565764913,-12.442997430535627,-8.857178559649972,169.548499299,209.35617330558995,129.74082529241008
2022-01-11,140.18385315,1554197314.0,0.031105249468065033,143.06073652142857,169.57348683733332,26.29298060765572,-12.671423568540405,-9.620027561428058,167.627835847,209.2621277024214,125.9935439915786
2022-01-12,151.70310974,2242337550.0,0.08217249227465673,142.57550484857146,169.45648854633333,38.62237786069561,-11.787071172976766,-10.053436283737799,165.711175538,206.52320398817616,124.89914708782382
2022-01-13,146.01004028,2177023564.0,-0.037527704407359974,141.94388907285716,169.21210835833335,34.61322071210169,-11.414024880692125,-10.325554003128666,163.498017884,203.4942903141891,123.50174545381091
2022-01-14,146.1590271,1822320951.0,0.001020387500162867,143.33763340571429,168.13938293533332,35.731717961580316,-10.979792798466917,-10.456401762196316,161.149922944,199.29489989029963,123.00494599770036
2022-01-15,147.80117798,1123271784.0,0.011235370901014896,144.0930219385714,167.16759999666664,30.31397054403095,-10.383458842780868,-10.441813178313227,158.639945222,192.99304539433246,124.28684504966753
2022-01-16,147.85652161,1172854751.0,0.0003744464743540288,145.09552438,166.24604085366667,31.217089737981,-9.793500737866935,-10.31215069022397,156.261296083,186.1920748580326,126.33051730796737
2022-01-17,139.92601013,1487772250.0,-0.053636534889669796,145.66281999857145,164.81573689866667,30.47645316179478,-9.852309397802003,-10.220182431739577,154.3863151565,183.41949485117772,125.35313546182226
2022-01-18,141.58718872,1449435942.0,0.0118718356112395,145.86329650857144,163.53204142333334,32.90728885874093,-9.653591857548236,-10.106864316901309,152.9327964795,181.4420971206222,124.42349583837782
2022-01-19,135.79238892,1444663456.0,-0.04092743031616841,143.59033639142856,162.269394939,36.21697282968482,-9.850152266095336,-10.055521906740115,151.084856416,178.9697070547612,123.20000577723883
2022-01-20,127.20528412,984099352.0,-0.06323701106001578,140.90394265428571,160.5064862576667,34.29801355688208,-10.576911347822033,-10.159799794956498,148.9301670085,177.22049418282262,120.63983983417738
2022-01-21,111.96605682,3771688473.0,-0.11980026934749,136.01923261428573,158.28545074533335,33.745605114032244,-12.241439742362076,-10.576127784437615,145.6025726325,174.87831647483273,116.32682879016726
2022-01-22,94.17836761,4039466376.0,-0.1588668004857582,128.35883113285715,155.09018580166668,22.172193229595763,-14.825014806205559,-11.425905188791203,141.492348862,175.303663135949,107.681034588051
2022-01-23,99.57822418,2548191912.0,0.057336485087119415,121.46193149999999,152.06702016233334,27.22214842347698,-16.249479476781445,-12.390620046389252,137.9563728335,173.81341092275284,102.09933474424719
2022-01-24,91.65016174,4664539688.0,-0.07961642723884133,114.56538173,148.684661357,26.337000027313238,-17.812771826699503,-13.475050402451304,134.14193573,172.6988479269752,95.58502353302481
2022-01-25,94.72035217,2842652332.0,0.03349901813277478,107.87011936571427,145.24198201533332,25.41381911467404,-18.589663498724192,-14.497973021705883,131.122966766,172.14688045471235,90.09905307728765
2022-01-26,92.23804474,3177186515.0,-0.026206695531968194,101.64807019714286,141.8022666936667,14.358233237875766,-19.184510119384868,-15.43528044124168,128.2133014675,171.65465340333753,84.77194953166247
2022-01-27,89.63249207,2513945822.0,-0.028248134241619316,96.28052847571429,138.87582880733333,14.910077525269088,-19.639781501049086,-16.276180653203163,125.87478523249999,172.386821150353,79.36274931464698
2022-01-28,91.31289673,2156098049.0,0.018747717721467216,93.33007703428572,136.231006623,16.50183483726623,-19.638611055104548,-16.94866673358344,123.3147571565,171.57416338856635,75.05535092443364
2022-01-29,96.22348785,1727329992.0,0.0537776294023391,93.62223706857144,133.68008321166667,19.707517000353334,-19.022164137112625,-17.36336621428928,121.08398132300002,170.05211121105498,72.11585143494506
2022-01-30,93.29767609,1110338981.0,-0.030406419735698687,92.72501591285713,131.11337000566667,19.001814251071252,-18.555814194901146,-17.601855810411653,118.95111808749998,168.89818585579724,69.00405031920272
2022-01-31,99.7388382,1888454241.0,0.06903882690268204,93.88054112142858,128.487399801,26.77416353618065,-17.46515314086193,-17.574515276501707,116.92886734000001,166.53014745318748,67.32758722681254
2022-02-01,109.97898102,3568466349.0,0.10266956187584708,96.06034524285714,126.27393773433333,33.380354020681835,-15.594736042901161,-17.1785594297816,114.84266090400001,161.7207133078871,67.96460850011292
2022-02-02,101.83760071,3297984784.0,-0.07402669341443946,97.43171038142857,123.991932933,32.57647365059215,-14.6010465915313,-16.66305686213154,112.63403892550002,157.44601305182223,67.82206479917781
2022-02-03,101.45903778,2618951519.0,-0.0037173198048726652,99.12121691142856,121.77593739866667,35.57325192798683,-13.686320028987609,-16.067709495502754,110.39903945950002,152.5506161558829,68.24746276311714
2022-02-04,112.17424774,3121470028.0,0.1056111924029326,102.10140991285714,120.34508794166666,50.12288896180892,-11.958909876009074,-15.245949571604019,108.61769294749999,146.9523844671959,70.28300142780407
2022-02-05,113.89430237,2337469324.0,0.015333774593138338,104.62581198714285,119.12718633033333,64.36198917992769,-10.332029644632641,-14.263165586209745,106.9195819855,140.67049945133294,73.16866451966706
2022-02-06,115.29975891,1488437091.0,0.012340007452121604,107.76896667571428,118.42375106833333,62.15992074254259,-8.827548261934496,-13.176042121354696,105.6882694245,135.98963814623937,75.38690070276063
2022-02-07,117.35514832,2501444983.0,0.017826484889742034,110.28558240714285,117.58514073733335,71.86831464620484,-7.384262003331287,-12.017686097750016,104.47666740449999,130.3481943788701,78.6051404301299
2022-02-08,113.59548187,2670414753.0,-0.03203665543285983,110.8022253857143,116.67702331566667,65.87167200527463,-6.469247449117006,-10.907998368023414,103.366822052,125.1658504804799,81.5677936235201
2022-02-09,114.01937866,1844036035.0,0.003731634243033577,112.54247937857143,115.945837911,68.9722025469632,-5.6448169581614565,-9.855362086051024,102.707526779,122.14000136422717,83.27505219377284
2022-02-10,106.20280457,2534257400.0,-0.06855478587818509,113.22016034857143,114.81313629166668,63.23205046817195,-5.558111606806989,-8.995911990202217,102.4193641665,121.44032717213048,83.39840116086953
2022-02-11,96.38188171,2244853464.0,-0.09247329107516056,110.96410805857143,112.96909535733334,53.582077413579775,-6.210275202334884,-8.43878463262875,102.52953987150002,121.3742253227369,83.68485442026314
2022-02-12,95.91820526,1722515979.0,-0.0048108258707290075,108.39609418571429,111.29936752333333,49.769799256751114,-6.687445654075162,-8.088516836918032,102.3465389255,121.3820182674848,83.3110595835152
2022-02-13,93.24410248,1150014559.0,-0.02787899098770108,105.24528612428571,109.53553670266666,49.95944846091916,-7.198405681004715,-7.910494605735369,102.4262359625,121.2856874946635,83.5667844303365
2022-02-14,96.43327332,1787236369.0,0.03420238658722741,102.25644683857142,107.823273214,47.36835711708883,-7.262290584599043,-7.780853801508105,102.51188202,121.23908196083583,83.78468207916417
2022-02-15,104.87330627,2134576044.0,0.08752200002578947,101.01042175285714,106.39049936933333,45.81530175683369,-6.556302731465266,-7.5359435874995375,103.1436450965,121.25386427649362,85.03342591650637
2022-02-16,101.93289948,1908954820.0,-0.028037704679871656,99.28378187,105.12406234766668,50.085388383368205,-6.163025009477664,-7.261359871895164,103.75866546700001,120.73700976523669,86.78032116876334
2022-02-17,93.41042328,1872498133.0,-0.08360869006450833,97.45629882857143,103.51817016633335,43.706811988236005,-6.464523186159994,-7.10199253474813,103.8635417945,120.54144275919914,87.18564082980085
2022-02-18,90.06546021,1669246812.0,-0.03580931284267275,96.5539529,101.99393920933333,30.461256649046177,-6.893904587308157,-7.060374945260136,103.5556404125,121.0355198153803,86.0757610096197
2022-02-19,91.4966507,1084605729.0,0.0158905587853877,95.92230224857143,100.80365142866665,30.10439060643793,-7.037582459805321,-7.055816448169174,103.46558914299999,121.18489523570494,85.74628305029503
2022-02-20,90.90141296,1912980153.0,-0.006505568624054603,95.58763231714286,100.10149663333333,28.01067554073498,-7.1174335760944984,-7.068139873754239,103.023717881,121.55642260737235,84.49101315462764
2022-02-21,83.12316132,2892900595.0,-0.08556799489379474,93.68618774571429,99.73298975700001,22.032950443898457,-7.719371948160443,-7.198386288635481,101.680926896,121.90615944178526,81.45569435021474
2022-02-22,86.46538544,2046554018.0,0.040208096839982055,91.05648477,99.29589513233333,27.682871996035132,-7.836389866010862,-7.325987004110557,100.9123161325,122.25023915465685,79.57439311034314
2022-02-23,84.90278625,2293962445.0,-0.018071962347109616,88.62361145142857,99.07098261600001,26.48923426401474,-7.963418769899235,-7.453473357268292,100.084503556,122.58600630832007,77.58300080367994
2022-02-24,89.19474792,5253578948.0,0.050551481989791425,88.02137211428571,98.88679580766667,35.43761365275162,-7.629812920126312,-7.488741269839896,98.935528565,121.18308652354096,76.68797060645903
2022-02-25,92.59882355,3069242551.0,0.03816452996821251,88.38328116285716,98.898821768,46.36107035018934,-7.009941187909618,-7.392981253453842,97.870754624,119.1198772689364,76.6216319790636
2022-02-26,90.14156342,1721041901.0,-0.026536623639426438,88.18969726571429,98.91579081300002,44.64867635847087,-6.640422078304979,-7.242469418424069,96.61284484950001,116.44937801887579,76.77631168012422
2022-02-27,85.5190506,2012522473.0,-0.05128059293205456,87.42078835714285,98.72266260866667,43.09305667097695,-6.64398594014402,-7.12277272276806,95.02103996349999,112.85784691482723,77.18423301217274
2022-02-28,99.5203476,3457872746.0,0.16372138022776395,89.76324353999999,98.83255793366668,52.312952647053315,-5.45415061890516,-6.78904830199548,94.31728325,110.05559652399108,78.57896997600892
