date,btc_price,btc_high,btc_low,eth_price,eth_high,eth_low,sol_price,sol_high,sol_low,btc_sma_14,eth_sma_14,sol_sma_14,btc_sma_30,eth_sma_30,sol_sma_30
2024-01-28,42024.0,42824.0,41629.0,2256.7,2307.6,2240.9,95.93798065,99.37737274,93.53833008,41418.42857142857,2378.9857142857145,92.23558861857143,42869.8,2375.2033333333334,95.94266891466667
2024-01-29,43304.0,43305.0,41804.0,2318.3,2322.6,2234.3,101.56666565,101.77191162,95.1761322,41476.357142857145,2365.2357142857145,92.74104854,42908.333333333336,2376.076666666667,95.933388265
2024-01-30,42946.0,43853.0,42692.0,2343.2,2391.8,2297.5,101.47297668,106.2134552,101.10939026,41463.142857142855,2347.8,93.01576723285714,42931.26666666667,2378.153333333333,95.93229344666666
2024-01-31,42558.0,43738.0,42264.0,2281.8,2351.2,2264.1,97.02870941,102.54806519,96.10359192,41450.28571428572,2330.1857142857143,92.65613228857143,42876.96666666667,2375.7966666666666,95.516294352
2024-02-01,43071.0,43263.0,41859.0,2303.4,2311.5,2239.0,97.84669495,97.94419098,93.37918854,41578.0,2318.4357142857143,92.91297095142858,42813.666666666664,2374.0266666666666,95.22414347333333
2024-02-02,43183.0,43451.0,42538.0,2308.3,2322.8,2279.2,100.44052124,102.41262817,97.57415771,41689.07142857143,2305.45,93.41685322357142,42824.26666666667,2377.2733333333335,95.28567962633333
2024-02-03,42998.0,43352.0,42876.0,2296.1,2328.0,2292.4,97.87998199,101.05898285,96.81257629,41783.71428571428,2292.9857142857145,93.79614911714286,42784.666666666664,2378.1566666666668,95.045761108
2024-02-04,42568.0,43097.0,42243.0,2289.1,2309.0,2268.5,95.47695923,98.4575882,95.26637268,41855.71428571428,2281.0785714285716,94.12675803,42730.8,2378.8133333333335,94.895700073
2024-02-05,42652.0,43515.0,42244.0,2298.8,2334.2,2268.3,95.54866028,98.54404449,94.29252625,42078.857142857145,2280.2285714285713,94.97860445285714,42685.9,2380.7233333333334,94.95206476833333
2024-02-06,43092.0,43366.0,42521.0,2372.5,2392.2,2296.4,96.86107635,97.79078674,93.28073883,42309.142857142855,2289.6214285714286,95.87764521928571,42657.5,2385.713333333333,95.20488917
2024-02-07,44346.0,44389.0,42764.0,2424.2,2444.5,2353.3,100.97927856,101.23660278,94.72022247,42614.28571428572,2303.214285714286,96.75245012428572,42569.2,2388.7633333333333,95.31118367466667
2024-02-08,45300.0,45587.0,44325.0,2420.1,2463.2,2411.3,102.7856369,104.7980423,100.55369568,42998.857142857145,2317.6857142857143,97.88790893428572,42541.73333333333,2391.2633333333333,95.423731994
2024-02-09,47154.0,48201.0,45252.0,2487.4,2524.2,2419.1,106.93333435,108.9877243,102.79017639,43380.0,2333.4285714285716,98.92297799142857,42557.53333333333,2388.016666666667,95.587075805
2024-02-10,47770.0,48186.0,46894.0,2501.1,2516.9,2473.4,109.13146973,110.74279022,106.93366241,43783.28571428572,2350.0714285714284,99.99213899785714,42604.53333333333,2384.0866666666666,95.89447682633333
